,Title,Author,Poem
10,আগামী,সুকান্ত ভট্টাচার্য,"জড় নই, মৃত নই, নই অন্ধকারের খনিজ,আমি তো জীবন্ত প্রাণ, আমি এক অঙ্কুরিত বীজ;মাটিতে লালিত ভীরু, শুধু আজ আকাশের ডাকেমেলেছি সন্দিগ্ধ চোখ, স্বপ্ন ঘিরে রয়েছে আমাকে।যদিও নগণ্য আমি, তুচ্ছ বটবৃক্ষের সমাজেতবু ক্ষুদ্র এ শরীরে গোপনে মর্মরধ্বনি বাজে,বিদীর্ণ করেছি মাটি, দেখেছি আলোর আনাগোনাশিকড়ে আমার তাই অরণ্যের বিশাল চেতনা।আজ শুধু অঙ্কুরিত, জানি কাল ক্ষুদ্র ক্ষুদ্র পাতাউদ্দাম হাওয়ার তালে তাল রেখে নেড়ে যাবে মাথা:তারপর দৃপ্ত শাখা মেলে দেব সবার সম্মুখে,ফোটাব বিস্মিত ফুল প্রতিবেশী গাছেদের মুখে।সংহত কঠিন ঝড়ে দৃঢ়প্রাণ প্রত্যেক শিকড়:শাখায় শাখায় বাধা, প্রত্যাহত হবে জানি ঝড়;অঙ্কুরিত বন্ধু যত মাথা তুলে আমারই আহ্বানেজানি তারা মুখরিত হবে নব অরণ্যের গানে।আগামী বসন্তে জেনো মিশে যাব বৃহতের দলে;জয়ধ্বনি কিশলয়ে: সম্বর্ধনা জনাবে সকলে।ক্ষুদ্র আমি তুচ্ছ নই জানি আমি ভাবী বনস্পতি,বৃষ্টির, মাটির রসে পাই আমি তার তো সম্মতি।সেদিন ছায়ায় এসো: হানো যদি কঠিন কুঠারে,তবু তোমায় আমি হাতছানি দেবো বারে বারে;ফল দেব, ফুল দেব, দেব আমি পাখিরও কূজনএকই মাটিতে পুষ্ট তোমাদের আপনার জন।।"
11,আগ্নেয়গিরি,সুকান্ত ভট্টাচার্য,"কখনো হঠাৎ মনে হয়ঃআমি এক আগ্নেয় পাহাড়।শান্তির ছায়া নিবিড় গুহায় নিদ্রিত সিংহের মতোচোখে আমার বহু দিনের তন্দ্রা।এক বিস্ফোরণ থেকে আর এক বিস্ফোরণের মাঝখানেআমাকে তোমরা বিদ্রূপে বিদ্ধ করেছ বারংবারআমি পাথরঃ আমি তা সহ্য করেছি। মুখে আমার মৃদু হাসি,বুকে আমার পুঞ্জীভূত ফুটন্ত লাভা।সিংহের মতো আধ বোজা চোখে আমি কেবলি দেখছিঃমিথ্যার ভিতে কল্পনার মশলায় গড়া তোমাদের শহর,আমাকে ঘিরে রচিত উৎসবের নির্বোধ অমরাবতী,বিদ্রূপের হাসি আর বিদ্বেষের আতস বাজি–তোমাদের নগরে মদমত্ত পূর্ণিমা। দেখ, দেখঃছায়াঘন, অরণ্য নিবিড় আমাকে দেখ;দেখ আমার নিরুদ্বিগ্ন বন্যতা।তোমাদের শহর আমাকে বিদ্রূপ করুক,কুঠারে কুঠারে আমার ধৈর্যকে করুক আহত,কিছুতেই বিশ্বাস ক’রো না–আমি ভিসুভিয়স ফুজিয়ামার সহোদর।তোমাদের কাছে অজ্ঞাত থাকভেতরে ভেতরে মোচড় দিয়ে ওঠা আমার অগ্ন্যুদ্‌গার,অরণ্যে ঢাকা অন্তর্নিহিত উত্তাপের জ্বালা। তোমার আকাশে ফ্যাকাশে প্রেত আলো,বুনো পাহাড়ে মৃদু ধোঁয়ার অবগুণ্ঠন:ও কিছু নয়, হয়তো নতুন এক মেঘদূত।উৎসব কর, উৎসব কর–ভুলে যাও পেছনে আছে এক আগ্নেয় পাহাড়,ভিসুভিয়স ফুজিয়ামার জাগ্রত বংশধর।আর,আমার দিন পি কায় আসন্ন হোকবিস্ফোরণের চরম, পবিত্র তিথি।।"
12,আজব লড়াই,সুকান্ত ভট্টাচার্য,"ফেব্রুয়ারী মাসে ভাই, কলকাতা শহরেঘটল ঘটনা এক, লম্বা সে বহরে!লড়াই লড়াই খেলা শুরু হল আমাদের,কেউ রইল না ঘরে রামাদের শ্যামাদের;রাস্তার কোণে কোণে জড়ো হল সকলে,তফাৎ রইল নাকো আসলে ও নকলে,শুধু শুনি ‘ধর’ ‘ধর’ ‘মার’ ‘মার’ শব্দযেন খাঁটি যুদ্ধ এ মিলিটারী জব্দ।বড়রা কাঁদুনে গ্যাসে কাঁদে, চোখ ছল ছলহাসে ছিঁচকাঁদুনেরা বলে, ‘সব ঢাল জল’।ঐ বুঝি ওরা সব সঙ্গীন উঁচোলো,ভয় নেই, যত হোক বেয়নেট ছুঁচোলো,ইট পাটকেল দেখি রাখে এরা তৈরি,এইবার যাবে কোথা বাছাধন বৈরী!ভাবো বুঝি ছোট ছেলে, একেবারে বাচ্চা!এদের হাতেই পাবে শিক্ষাটা আচ্ছা;ঢিল খাও, তাড়া খাও, পেট ভরে কলা খাও,গালাগালি খাও আর খাও কানমলা খাও।জালে ঢাকা গাড়ি চড়ে বীরত্ব কি যে এরবুঝবে কে, হরদম সামলায় নিজেদের।বার্মা পালানো সব বীর এরা বঙ্গেযুদ্ধ করছে ছোট ছেলেদের সঙ্গে;ঢিলের ভয়েতে ওরা চালায় মেশিনগান,“বিশ্ববিজয়ী” তাই রাখে জান, বাঁচে মান।খালি হাত ছেলেদের তেড়ে গিয়ে করে খুন;সাবাস! সাবাস! ওরা খেয়েছে রাজার নুন। ডাংগুলি খেলা নয়, গুলির সঙ্গে খেলা,রক্ত রাঙানো পথে দু’পাশে ছেলের মেলা;দুর্দম খেলা চলে, নিষেধে কে কান দেয়?ও বাড়ি ও ও পাড়ার কালো, ছোটু প্রাণ দেয়।স্বচে দেখলাম বস্তির আলী জান,‘আংরেজ চলা যাও’ বলে ভাই দিল প্রাণ। এমন বিরাট খেলা শেষ হল চটপটবড়দের বোকামিতে আজো প্রাণ ছটফট;এইবারে আমি ভাই হেরে গেছি খেলাতে,ফিরে গেছি দাদাদের বকুনির ঠেলাতে;পরের বারেতে ভাই শুনব না কারো মানা,দেবই, দেবই আমি নিজের জীবনখানা ।"
13,আজিকার দিন কেটে যায়,সুকান্ত ভট্টাচার্য,"আজিকার দিন কেটে যায়,—অনলস মধ্যাহ্ন বেলায়যাহার অক্ষয় মূর্তি পেয়েছিনু খুঁজেতারি পানে চেয়ে আছি চক্ষু বুজে৷আমি সেই ধনুর্ধর যার শরাসনেঅস্ত্র নাই, দীপ্তি মনে মনে,দিগন্তের স্তিমিত আলোকেপূজা চলে অনিত্যের বহ্নিময় স্রোতে৷চলমান নির্বিরোধ ডাক,আজিকে অন্তর হতে চিরমুক্তি পাক৷কঠিন প্রস্তরমূর্তি ভেঙে যাবে যবেসেই দিন আমাদের অস্ত্র তার কোষমুক্ত হবে৷সুতরাং রুদ্ধতায় আজিকার দিনহোক মুক্তিহীন৷প্রথম বাঁশির স্ফূর্তি গুপ্ত উৎস হতেজীবন‍–সিন্ধুর বুকে আন্তরিক পোতেআজিও পায় নি পথ তাইআমার রুদ্রের পূজা নগণ্য প্রথাইতবুও আগত দিন ব্যগ্র হয়ে বারংবার চায়আজিকার দিন কেটে যায়॥ এই কবিতাটি ভূপেন্দ্রনাথ ভট্টাচার্যের ‘সুকান্ত প্রসঙ্গ’ প্রবন্ধ থেকে সংগৃহীত। পাণ্ডুলিপি পাওয়া যায় নি। এটি ১৯৪০ এর আগের রচনা।"
14,আঠারো বছর বয়স,সুকান্ত ভট্টাচার্য,"আঠারো বছর বয়স কী দুঃসহর্স্পধায় নেয় মাথা তোলবার ঝুঁকি,আঠারো বছর বয়সেই অহরহবিরাট দুঃসাহসেরা দেয় যে উঁকি। আঠারো বছর বয়সের নেই ভয়পদাঘাতে চায় ভাঙতে পাথর বাধা,এ বয়সে কেউ মাথা নোয়াবার নয় আঠারো বছর বয়স জানে না কাঁদা। এ বয়স জানে রক্তদানের পুণ্যবাষ্পের বেগে স্টিমারের মতো চলে,প্রাণ দেওয়া নেওয়া ঝুলিটা থাকে না শূন্যসঁপে আত্মাকে শপথের কোলাহলে। আঠরো বছর বয়স ভয়ঙ্করতাজা তাজা প্রাণে অসহ্য যন্ত্রণা,এ বয়সে প্রাণ তীব্র আর প্রখরএ বয়সে কানে আসে কত মন্ত্রণা। আঠারো বছর বয়স যে দুর্বারপথে প্রান্তরে ছোটায় বহু তুফান,দুর্যোগে হাল ঠিক মতো রাখা ভারক্ষত বিক্ষত হয় সহস্র প্রাণ। আঠারো বছর বয়সে আঘাত আসেঅবিশ্র্রান্ত; একে একে হয় জড়ো,এ বয়স কালো লক্ষ দীর্ঘশ্বাসেএ বয়স কাঁপে বেদনায় থরোথরো। তবু আঠারোর শুনেছি জয়ধ্বনি,এ বয়স বাঁচে দুর্যোগে আর ঝড়ে,বিপদের মুখে এ বয়স অগ্রণীএ বয়স তবু নতুন কিছু তো করে। এ বয়স জেনো ভীরু, কাপুরুষ নয়পথ চলতে এ বয়স যায় না থেমে,এ বয়সে তাই নেই কোনো সংশয় এ দেশের বুকে আঠারো আসুক নেমে।।"
15,আমরা এসেছি,সুকান্ত ভট্টাচার্য,"কারা যেন আজ দুহাতে খুলেছে, ভেঙেছে খিল,মিছিলে আমারা নিমগ্ন তাই দোলে মিছিল।দুঃখ যুগের দারায় দারায়যারা আনে প্রাণ, যারা তা হারায়তারাই ভরিয়ে তুলেছে সাড়ায় হৃদয় বিল।তারাই এসেছে মিছিলে, আজকে চলে মিছিল কে যেন ক্ষুব্ধ ভোমরার চাকে ছুঁড়েছে ঢিল,তাইতো দগ্ধ, ভগ্ন, পুরনো পথ বাতিল।আশ্বিন থেকে বৈশাখে যারাহাওয়ার মতন ছুটে দিশেহারা,হাতের স্পর্শে কাজ হয় সারা, কাঁপে নিখিলতারা এল আজ দুর্বারগতি চলে মিছিল আজকে হালকা হাওয়ায় উড়ুক একক চিলজনতরঙ্গে আমরা ক্ষিপ্ত ঢেউ ফেনিল।উধাও আলোর নিচে সমারোহ ,মিলিত প্রাণের একী বিদ্রোহ!ফিরে তাকানোর নেই ভীরু মোহ, কী গতিশীল!সবাই এসেছে, তুমি আসোনিকো, ডাকে মিছিল একটি কথায় ব্যক্ত চেতনাঃ আকাশে নীল,দৃষ্টি সেখানে তাইতো পদধ্বনিতে মিল।সামনে মৃত্যুকবলিত দ্বার,থাক অরণ্য, থাক না পাহাড়,ব্যর্থ নোঙর, নদী হব পার, খুঁটি শিথিল।আমরা এসেছি মিছিলে, গর্জে ওঠে মিছিল।।"
16,আমার মৃত্যুর পর,সুকান্ত ভট্টাচার্য,"আমার মৃত্যুর পর থেমে যাবে কথার গুঞ্জন,বুকের স্পন্দনটুকু মূর্ত হবে ঝিল্লীর ঝংকারেজীবনের পথপ্রান্তে ভুলে যাব মৃত্যুর শঙ্কারে,উজ্জ্বল আলোর চোখে আঁকা হবে আঁধার অঞ্জন।পরিচয়ভারে ন্যুব্জ অনেকের শোকগ্রস্ত মন,বিস্ময়ের জাগরণে ছদ্মবেশ নেবে বিলাপেরমুহূর্তে বিস্মৃত হবে সব চিহ্ন আমার পাপের।কিছুকাল সন্তর্পণে ব্যক্ত হবে সবার স্মরণ। আমার মৃত্যুর পর, জীবনের যত অনাদরলাঞ্ছনার বেদনায়, ষ্পৃষ্ট হবে প্রত্যেক অন্তর।। (পূর্বাভাস কাব্যগ্রন্থ)"
17,আলো অন্ধকার,সুকান্ত ভট্টাচার্য,"দৃষ্টিহীন সন্ধ্যাবেলা শীতল কোমল অন্ধকারস্পর্শ ক’রে গেল মোরে। স্বপনের গভীর চুম্বন,ছন্দ ভাঙা স্তব্ধতায় ভ্রান্তি এনে দিল চিরন্তন।অহর্নিশি চিন্তা মোর বিক্ষুব্ধ হয়েছে; প্রতিবারস্নায়ুতে স্নায়ুতে দেখি অন্ধকারে মৃত্যুর বিস্তার।মুহূর্ত কম্পিত আমি বন্ধ করি অলৌকিক গান,প্রচ্ছন্ন স্বপন মোর আরিক মিথ্যার পাষাণ,কঠিন প্রলুব্ধ চিন্তা নগরীতে নিষ্ফল আমার।তবু চাই রুদ্ধতায় আলোকের আদিম প্রকাশ,পৃথিবীর গন্ধ নেই এমন দিবস বারোমাস।আবার জাগ্রত মোর দুষ্ট চিন্তা নিগূঢ় ইঙ্গিতে;ভুঁইচাঁপা সুরভির মরণ অস্তিত্বময় নয়,তার সাথে কল্পনার কখনো হবে না পরিচয় ;তবু যেন আলো আর অন্ধকার মোর চারিভিতে।। (পূর্বাভাস কাব্যগ্রন্থ)"
18,আসন্ন আঁধারে,সুকান্ত ভট্টাচার্য,"নিশুতি রাতের বুকে গলানো আকাশ ঝরে –দুনিয়ায় ক্লান্তি আজ কোথা?নিঃশব্দে তিমির স্রোত বিরক্ত বিস্বাদেপ্রগল্‌ভ আলোর বুকে ফিরে যেতে চায়। তবে কেন কাঁপে ভীরু বুক?স্বেদ সিক্ত ললাটের শেষ বিন্দুটুকুপ্রখর আলোর সীমা হতেবিচ্ছিন্ন করেছে যেন সাহারার নীরব ইঙ্গিতে।কেঁদেছিল পৃথিবীর বুক।গোপনে নির্জনেধাবমান পুঞ্জ পুঞ্জ নক্ষত্রের কাছেপেয়েছিল অতীত বারতা?মেরুদণ্ড জীর্ণ তবু বিকৃত ব্যথায়বার বার আর্তনাদ করেআহত বিক্ষত দেহ, মুমূর্ষু চঞ্চল,তবুও বিরাম কোথা ব্যগ্র আঘাতের। প্রথম পৃথিবী আজ জ্বলে রাত্রিদিনআবাল্যের সঞ্চিক দাহনেচিরদিন দ্বন্দ্ব চলে জোয়ার ভাঁটায়,আষাঢ়ের ক্ষুব্ধ ছায়া বসন্তের বুকেএসে পড়েছিল একদিন উদ্‌ভ্রান্ত পৃথিবী তাই ছুটেছে পিছনেআলোরে পশ্চাতে ফেলি, দুরে বহু দূরেযত দূরে দৃষ্টি যায় –চেয়ে দেখি ঘিরেছে কুয়াশা।উড়ন্ত বাতাসে আজ কুমেরু কঠিনকোথা হতে নিয়ে এল জড় অন্ধকার, এই কি পৃথিবী?একদিন জ্বলেছিল বুকের জ্বালায় –আজ তার শব দেহ নিঃস্পন্দ অসাড়।। (পূর্বাভাস কাব্যগ্রন্থ)"
19,ইউরোপের উদ্দেশে,সুকান্ত ভট্টাচার্য,"ওখানে এখন মে মাস তুষার গলানো দিন,এখানে অগ্নি ঝরা বৈশাখ নিদ্রাহীন;হয়তো ওখানে শুরু মন্থর দক্ষিণ হাওয়া;এখানে বোশেখী ঝড়ের ঝাপ্টা পশ্চাৎ দাওয়া;এখানে সেখানে ফুল ফোটে আজ তোমাদের দেশেকত রঙ, কত বিচিত্র নিশি দেখা দেয় এসে।ঘর ছেড়ে পথে বেরিয়ে পড়েছে কত ছেলেমেয়েএই বসন্তে কত উৎসব কত গান গেয়ে।এখানে তো ফুল শুকনো, ধূসর রঙের ধুলোয়খাঁ খাঁ করে সারা দেশটা, শান্তি গিয়েছে চুলোয়।কঠিন রোদের ভয়ে ছেলেমেয়ে বন্ধ ঘরে,সব চুপচাপ; জাগবে হয়তো বোশেখী ঝড়ে।অনেক খাটুনি, অনেক লড়াই করার শেষেচারিদিকে ক্রমে ফুলের বাগান তোমাদের দেশে;এদেশে যুদ্ধ মহামারী, ভুখা জ্বলে হাড়ে হাড়ে অগ্নিবর্ষী গ্রীষ্মের মাঠে তাই ঘুম কাড়েবেপরোয়া প্রাণ; জমে দিকে দিকে আজ লাখে লাখে তোমাদের দেশে মে মাস; এখানে ঝোড়ো বৈশাখ।।"
